"チョコレート効果 カカオ72％大袋 225g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、砂糖、ココアパウダー、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ86％大袋 210g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ココアパウダー、砂糖、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ72％小袋 35g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、砂糖、ココアパウダー、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ86％小袋 30g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ココアパウダー、砂糖、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"オリゴスマートミルクチョコレート 65g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、全粉乳、フラクトオリゴ糖、砂糖、植物油脂、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"オリゴスマートミルクチョコレートパウチ 32g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、全粉乳、フラクトオリゴ糖、砂糖、植物油脂、ココアバター、還元水あめ／乳化剤、香料、光沢剤、（一部に乳成分・大豆を含む）
"オリゴスマートミルクチョコレート大袋 195g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、全粉乳、フラクトオリゴ糖、砂糖、植物油脂、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"オリゴスマートマイルドビターチョコレート 65g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、フラクトオリゴ糖、砂糖、植物油脂、ココアバター、全粉乳、ココアパウダー／乳化剤、香料、（一部に乳成分・大豆を含む）
"オリゴスマートマイルドビターチョコレートパウチ 32g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、フラクトオリゴ糖、砂糖、植物油脂、ココアバター、全粉乳、ココアパウダー、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
"オリゴスマートリッチミルクチョコレート 65g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",全粉乳、カカオマス、フラクトオリゴ糖、砂糖、植物油脂、ココアバター、脱脂粉乳、クリーミングパウダー／乳化剤、香料、（一部に乳成分・大豆を含む）
"オリゴスマートミルクチョコレートSUPER 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、フラクトオリゴ糖、植物油脂、全粉乳、脱脂粉乳、バター加工品／乳化剤、香料、甘味料（ラカンカ）、（一部に乳成分・大豆を含む）
"明治TANPACTミルクチョコレート 44g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、植物油脂、ココアバター、乳たんぱく質、脱脂粉乳、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
"明治TANPACTミルクチョコレートビスケットIN 45g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、乳たんぱく質、カカオマス、全粉乳、植物油脂、小麦粉、ココアバター、ショートニング、脱脂粉乳、小麦全粒粉、難消化性デキストリン、バター加工品、還元水あめ／乳化剤、ソルビトール、セルロース、香料、膨脹剤、光沢剤、（一部に小麦・乳成分・大豆を含む）
"ガルボチョコポケットパック 42g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、カカオマス、植物油脂、全粉乳、ココアバター、鶏卵、小麦粉、植物油脂加工食品、脱脂粉乳、練乳加工品、ココアパウダー、還元水あめ／加工デンプン、乳化剤、光沢剤、香料、セルロース、膨脹剤、（一部に小麦・卵・乳成分・大豆を含む）
"ガルボチョコパウチ 68g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、カカオマス、植物油脂、全粉乳、ココアバター、鶏卵、小麦粉、植物油脂加工食品、脱脂粉乳、練乳加工品、ココアパウダー、還元水あめ／加工デンプン、乳化剤、光沢剤、香料、セルロース、膨脹剤、（一部に小麦・卵・乳成分・大豆を含む）
"ガルボつぶ練り苺ポケットパック 42g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、植物油脂、全粉乳、カカオマス、ココアバター、鶏卵、乳糖、小麦粉、脱脂粉乳、植物油脂加工食品、練乳加工品、ココアパウダー、いちごパウダー、還元水あめ、いちごチップ、りんごパウダー／加工デンプン、乳化剤、トレハロース、光沢剤、香料、酸化防止剤（V.E、V.C、チャ抽出物）、酸味料、着色料（フラボノイド、紅麹）、セルロース、膨脹剤、（一部に小麦・卵・乳成分・大豆・りんごを含む）
"ガルボつぶ練り苺パウチ 69g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、植物油脂、全粉乳、カカオマス、ココアバター、鶏卵、乳糖、小麦粉、植物油脂加工食品、脱脂粉乳、練乳加工品、ココアパウダー、いちごパウダー、還元水あめ、いちごチップ、りんごパウダー／加工デンプン、乳化剤、トレハロース、光沢剤、香料、酸化防止剤（V.E、V.C、チャ抽出物）、酸味料、着色料（フラボノイド、紅麹）、セルロース、膨脹剤、（一部に小麦・卵・乳成分・大豆・りんごを含む）
"ガルボほろにがブラックポケットパック 44g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、カカオマス、植物油脂、全粉乳、乳糖、鶏卵、ココアバター、小麦粉、ココアパウダー、植物油脂加工食品、脱脂粉乳、練乳加工品、還元水あめ／加工デンプン、乳化剤、光沢剤、香料、セルロース、膨脹剤、（一部に小麦・卵・乳成分・大豆を含む）
"ガルボほろにがブラックパウチ 66g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、カカオマス、植物油脂、全粉乳、乳糖、鶏卵、ココアバター、小麦粉、ココアパウダー、植物油脂加工食品、脱脂粉乳、練乳加工品、還元水あめ／加工デンプン、乳化剤、光沢剤、香料、セルロース、膨脹剤、（一部に小麦・卵・乳成分・大豆を含む）
"ガルボ香りとコクのホワイトポケットパック 38g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、植物油脂、ココアバター、全粉乳、乳糖、小麦粉、鶏卵、脱脂粉乳、クリーミングパウダー、植物油脂加工食品、卵黄、還元水あめ、食塩、ココアパウダー／加工デンプン、乳化剤、セルロース、光沢剤、酸化防止剤（V.C、V.E）、香料、膨脹剤、（一部に小麦・卵・乳成分・大豆を含む）
"ガルボ香るアーモンド＆カカオポケットパック 38g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、カカオマス、植物油脂、ココアバター、全粉乳、鶏卵、小麦粉、植物油脂加工食品、脱脂粉乳、練乳パウダー、難消化性デキストリン、ココアパウダー、アーモンドペースト、還元水あめ／加工デンプン、乳化剤、光沢剤、香料、セルロース、膨脹剤、（一部に小麦・卵・乳成分・アーモンド・ごま・大豆を含む）
"フランオリジナルショコラ 9本 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",小麦粉（国内製造）、砂糖、カカオマス、全粉乳、植物油脂、ココアバター、ココアパウダー、乳糖、ショートニング、練乳パウダー、脱脂粉乳、アーモンドペースト、クリーミングパウダー、カカオニブ、麦芽エキス、異性化液糖、バター加工品、食塩／乳化剤、膨脹剤、香料、酸化防止剤（V.C、V.E）、（一部に小麦・乳成分・アーモンド・大豆を含む）
"フランダブルショコラ 9本 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造、外国製造）、小麦粉、砂糖、全粉乳、植物油脂、ココアバター、ココアパウダー、ショートニング、乳糖、練乳パウダー、カカオニブ、アーモンドペースト、脱脂粉乳、クリーミングパウダー、麦芽エキス、異性化液糖、食塩、バター加工品／乳化剤、膨脹剤、香料、酸化防止剤（V.C、V.E）、（一部に小麦・乳成分・アーモンド・大豆を含む）
"ホルンミルクショコラ 8本 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、カカオマス、植物油脂、全粉乳、小麦粉、加糖卵白、ショートニング、ラクチトール、ココアバター、脱脂粉乳、乳糖、ココアパウダー、発酵バター、加糖卵黄、デキストリン、食塩／乳化剤、カラメル色素、香料、（一部に小麦・卵・乳成分・大豆を含む）
"ホルン薫る抹茶 8本 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、ココアバター、小麦粉、加糖卵白、植物油脂、乳糖、ショートニング、全粉乳、ラクチトール、まっ茶、脱脂粉乳、カカオマス、加糖卵黄、食塩／乳化剤、着色料（クチナシ、カラメル、フラボノイド）、酸化防止剤（V.C、V.E、ローズマリー抽出物）、香料、（一部に小麦・卵・乳成分・大豆を含む）
"ホルンアールグレイの香りひろがるミルクティー 8本 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、ココアバター、小麦粉、加糖卵白、植物油脂、乳糖、全粉乳、ショートニング、ラクチトール、脱脂粉乳、カカオマス、紅茶、加糖卵黄、発酵バター、デキストリン、食塩／乳化剤、カラメル色素、酸化防止剤（V.C、V.E）、香料、（一部に小麦・卵・乳成分・大豆を含む）
"プッカチョコレート 43g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",小麦粉、砂糖、カカオマス、植物油脂、全粉乳、ココアバター、ライ麦粉、ショートニング、脱脂粉乳、麦芽エキス、バター風味調味料、練乳加工品、カラメルソース、食塩／乳化剤、膨脹剤、香料、カラメル色素、（一部に小麦・乳成分・大豆を含む）
"プッカいちご 39g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",小麦粉、砂糖、植物油脂、全粉乳、ココアバター、ライ麦粉、ショートニング、脱脂粉乳、麦芽エキス、いちごパウダー、バター風味調味料、練乳加工品、カラメルソース、食塩／乳化剤、膨脹剤、香料、着色料（ビートレッド、カラメル）、酸味料、（一部に小麦・乳成分・大豆を含む）
"アグロフォレストリーミルクチョコレート 45g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（国内製造）、全粉乳、カカオマス、ココアバター、脱脂粉乳／乳化剤、香料、（一部に乳成分・大豆を含む）
